,Nom,Activite_principale,Adresse,Ville,Telephone,Detail,Lien_entreprise,Facebook,Linkedin,Autre_lien,Lien_europage
359,ATLANTIQUE INDUSTRIE,Fabricant/Producteur,80 impasse Félix Amiot,44150 Ancenis,+33 240097009,"ATLANTIQUE INDUSTRIE conçoit et fabrique des installations industrielles pour le traitement des liquides chargés, pour tous les secteurs. Nous concevons entre autres: des solutions de relevage (pompage auto amorçant, pompe submersible dilacératrice, pompe submersible à effet vortex), de transfert (pompe de transfert de légumes, pompage à gros passage, pompe dilacératrices), de surpression pour tous types d’effluents (pompes multicellulaires, monocellulaires, pompes à roues semi-ouvertes), d’automatisme, de régulation et de télégestion; des solutions de séparation: dégrillage, tamisage, filtration, convoyage, pressage, dessablage, déterrage; des solutions d'agitation et d'aération pour les stations d'épurations, etc..",http://www.atlantiqueindustrie.fr,,,,https://www.europages.fr/ATLANTIQUE-INDUSTRIE/FRA466253-00101.html
360,STS INDUSTRIE,Fabricant/Producteur,"1 rue Thalès, ",25320 Chemaudin,+33 381586282,"STS Industrie, Société de service industriel basée à Besançon (bassin des microtechniques), est expérimentée dans l’usinage de précision, la conception, la métrologie et l’industrialisation clé en main. Nous répondons aux besoins (prototypes et séries) de pièces et composants ou prenons en charge la réalisation complète d’ensembles (outillages / dispositifs et systèmes). Notre bureau d’études étudie et développe vos concepts et vous propose le prototypage de vos projets. Des prestations de contrôle tridimensionnel et de gravure complètent notre offre. STS INDUSTRIES vous accompagne dans la Conception et le Développement de vos projets de design de Produit, l'élaboration de vos systèmes de contrôle et de production. STS INDUSTRIE assure la préconisation matériaux et traitements, l’élaboration d'un cahier des charges adapté à vos besoins, étude technique complète d'ensembles mécaniques complexes, réalisation de plans en 3D pour pré-validation, conseil Engineering, Analyse des fonctions…",http://www.sts-industrie.com,,,,https://www.europages.fr/STS-INDUSTRIE/00000003896025-000019804001.html
361,NAND INDUSTRIE,Fabricant/Producteur,"43, rue Raymond IV",31000 Toulouse,+33 981334293,"Nous sommes un réseau national de professionnels indépendants : couvreurs, zingueurs, compagnons du devoir, tous qualifiés SS4, fabricants, financiers, développeurs et des mandataires régionaux impliqués. SAS NAND est spécialisée dans la rénovation de toitures en fibrociment et elle offre de nombreuses solutions innovantes de réhabilitation pour les bâtiments industriels. La maitrise de ses compétences se manifeste par une recherche constante de solutions à la fois économiques et écologiques. Née de la rencontre d’une pluralité de personnes et de compétences, la SAS NAND est née afin de vous fournir les meilleures prestations au prix le plus juste. Nos techniciens professionnels qualifiés sont présents et vous assurent par leur expérience, la mise en œuvre de votre chantier et sa bonne fin, dans les meilleures conditions. De par ses activités, NAND s’engage au quotidien en matière de protection de l’environnement, d’économie d’énergie et d’innovation, en conformité avec la réglementation et la législation en vigueur et vous apporte toutes les garanties nécessaires.",http://nand-industrie.com,,,,https://www.europages.fr/NAND-INDUSTRIE/00000004737369-534151001.html
362,FILPACK INDUSTRIE,Fabricant/Producteur,21-23 Rue De La Plaine,37390 Mettray,+33 247410251,"Filiale du groupe FILPACK, FILPACK INDUSTRIE, ingénierie industrielle pour le conditionnement et la fabrication de lignes spéciales pour l’agro-alimentaire, propose une large gamme de solutions de pesage, d’ensachage, de dépilage, de convoyage, de dosage, de calibrage, etc. Nous pesons et comptons tous les produits secs, frais, IQF, entiers, coupés, emballés, fragiles ou collants. FILPACK a conclu des partenariats avec les plus grands noms de l'industrie agro-alimentaire dans les secteurs de la viande, du poisson, du fromage, de la viennoiserie, des fruits et légumes, de la confiserie ou des plats cuisinés. Depuis plus de 30 ans, FILPACK s'attache à concevoir les meilleures solutions de conditionnement pour la distribution des fruits et légumes. Implanté sur 4 sites, le groupe FILPACK comprend FILPACK INDUSTRIE, FILPACK EMBALLAGE, conditionnement pour fruits et légumes, FILPACK AGRICOLE, production et protection des cultures et TECHNIPAC, conception et impression pour emballages.",http://www.filpack.fr,,,,https://www.europages.fr/FILPACK-INDUSTRIE/FRA802670-00101.html
363,MFL INDUSTRIE,Grossiste,ROUTE D'AOSTE,38480 Romagnieu,+33 476375326,"La société MFL INDUSTRIE est basée à Romagnie. Elle est spécialisée dans la négoce de machines-outils neuves (machines Tchèques principalement TOS Varnsdorf) et d'occasion d'usinage moyenne & grande capacité, elle travaille  essentiellement sur des machines fiables de fabrication rigide, transfert de machines avec gestion ""clé en main"" (démontage/manutention/transport) d'un seul interlocuteur. MFL INDUSTRIE propose la négoce de machines de réemploi de forge et de fixations industrielles. Elle prend également vos machines en dépôt vente dans son atelier de Romagnieu situé au coeur de l'axe Lyon Chambéry Grenoble à 35 min de l'aéroport Saint Exupéry. Batiment de 2012 équipé d'un pont de 32 T et de 8 m sous crochet. Elle propose des machines à fraiser à portique, tours conventionnels horizontaux, fraiseuses à banc fixe ainsi que machines à fraiser à portique ou bien des centres de tournage mono broche mono tourelle avec axe de fraisage.",http://www.mfl-industrie.com,,,,https://www.europages.fr/MFL-INDUSTRIE/00000004710859-001.html
364,ALFYMA INDUSTRIE,Fabricant/Producteur,17 avenue Christian Doppler,77700 Bailly-Romainvilliers,+33 160041425,"L'entreprise Alfyma Industrie située à Val D'europe conçoit, fabrique, installe tous systèmes de convoyage et de manutention pour tous types d'industries en france et à l'international. Notre savoir faire: étude, conception et ingénieurie 3D de systèmes de convoyage et de manutention techinique par bandes transporteuses, pvc ou polyuréthane.Etude des flux de marchandises ou matière sur site.Réalisations et fabrication de différentes pièces maitresses dans les systèmes de convoyages: broyeurs, trommels, convoyeurs etc...",http://www.alfyma.fr,,,,https://www.europages.fr/ALFYMA-INDUSTRIE/FRA017717-117785001.html
365,ACG INDUSTRIE,Fabricant/Producteur,5006 Rue du Marais,59147 Gondecourt,+33 320629500,"La société ACG INDUSTRIE est basée à GONDECOURT. Elle est spécialisée dans la production et la fabrication de peintre industrielle, à la fois poudre et liquide sous la marque ETICOAT ainsi que des peintures décoratives sous la marque ETIPRO. Elle s'occupe de la fabrication et commercialisation de peintures et vernis industriels: poudres (thermodurcissables) epoxy et polyester, liquides (solvantés, Hydro, hautes températures..). Son offre comprend des vernis et laques par usage: vernis et enduits pelables, à imprégner le bois, pour métaux non ferreux, vernis pour emballages métalliques, pour cuir, peintures à la détrempe, laques nitrocellulosique et cellulosiques. Elle propose différents types de peintures: peintures à l'eau, au caoutchouc, à la caséine, brillantes, satinées, mates ou au four. Elle offre une gamme large et complète de peintures liquides comprenant : peinture haute température; métal antirouille séchage air; phase aqueuse; primaire anticorrosion; laque polyuréthane; vernis de finissage; bombes de retouches acryliques; peinture sol epoxy; diluants pour peintures et solvants de nettoyage.",http://www.acg-industrie.fr,,,,https://www.europages.fr/ACG-INDUSTRIE/00000003995849-264799001.html
366,AEROSEC INDUSTRIE,Fabricant/Producteur,164 Route De Valmont,76400 Fecamp,+33 235284564,"AEROSEC INDUSTRIE est un fabricant d'équipement de nettoyage par ultrasons. AEROSEC INDUSTRIE propose une gamme variée et adaptée aux process de ses clients: monocuves à ultrasons, cuves insonorisées, unités de traitement au déshuilage, dégraissage, décalaminage de toutes pièces métalliques. Son offre comprend de la console pour le nettoyage, rinçage et séchage. AEROSEC présente une gamme standard variée: les monocuves ultrasons DELTACOMPACT et DELTACOMPACT/I, unités de traitement DELTA XT, consoles multi traitement MULTIDELTA , éléments immergeables de type tube émetteur ou boite émettrice. Ses applications vont du nettoyage d’outillage, de moules, dégraissage de pièces mécaniques, nettoyage de pistolets peinture, process de traitement en ligne de production. Elle propose une large gamme de produits de nettoyage Lessiviel,  pour le dégraissage, décalaminage et le décapage. Son offre comprend  la cabine de pistolage ouverte, compensation d’air dans zone de travail, meuble de travail avec extraction / filtration, table de préparation ventilée, salle de travail modulaire avec traitement d’air, équipement de nettoyage de pistolets / outillage peinture.",http://www.aerosec.fr/,,,,https://www.europages.fr/AEROSEC-INDUSTRIE/FRA358074-00101.html
367,SIKORSKI INDUSTRIE,Fabricant/Producteur,Za Le Moulin À Vent,45250 Briare,+33 238313747,"La société SIKORSKI INDUSTRIE est spécialisée dans la decoupe de mousse, caoutchouc, plastique et adhésif. F. SIKORSKI Industrie vous apporte son savoir-faire dans l'étude, l'adhésivage, la découpe totale ou à mi-chair, l'assemblage, le marquage par tampographie, de tous vos produits mousse, plastique, caoutchouc. Transformation de matériaux non-ferreux. Adhésivage, découpe totale ou mi-chair, assemblage, marquage par tampographie de tous produits mousse et caoutchouc. Fabricant de joints d'étanchéité, moquettes de consoles, habillages de véhicules.Fabricant de mousses insonorisantes. Fabricant de rondelles d'arrêt. fabricant de joints mousse caoutchouc, secteur automobile. Plasticalaires ronds ou étoile pour cosmétique. Marquage par tampographie de tous types de pièces. Fabricant de joints techniques et complexes, de joints d'étanchéité et calage.",http://www.sikorski-industrie.fr,,,,https://www.europages.fr/SIKORSKI-INDUSTRIE/00000003664591-100667001.html
368,CENTRALE INDUSTRIE,Distributeur,52 rue Botzaris,75019 Paris,+33 686795660,"Centrale industrie est une société propriétaire de bureaux, locaux d’activités et entrepôts qu’elle met à la location pour les entreprises. Nous sommes une société indépendante des grands groupes et nos biens sont seulement disponible à la location. Depuis plus de 20 ans nous proposons des biens de qualités et notre expérience dans le domaine de l’immobilier d’entreprise nous permet de vous proposer des biens qui seront satisfaire vos attentes. Nos biens sont basés à Senlis et à Nogent-sur-Oise dans le département de l’Oise ce qui nous permet de vous proposer des biens proches de Paris et facilement accessible. Avec 15 000 m² d’entrepôts et 2 000 m² de bureaux dans le centre-ville de Senlis, 1 350 m² de bureaux, locaux d’activités et entrepôts en zone industrielle de Senlis et 2 200 m² de bureaux, locaux d’activités et entrepôts en zone commerciale et industrielle de Nogent-sur-Oise, vous trouverez forcément le bien qui vous correspond. Venez découvrir nos biens sur notre site internet ou contactez-nous grâce à la fiche contact sur notre site internet pour plus d’informations.",http://centrale-industrie.com/,,,,https://www.europages.fr/CENTRALE-INDUSTRIE/00000005350621-646126001.html
369,NOVALIA INDUSTRIE,Prestataire de services,"10, rue Ampère",69680 Chassieu,+33 478044226,"NOVALIA INDUSTRIE intervient dans toute la France en études, automatismes et fabrication de machines. NOVALIA INDUSTRIE propose des solutions innovantes et des services industriels clé en main : Installation, maintenance électrique et mécanique d’équipements et infrastructures, Conception et fabrication de machines et Transfert industriel avec des applications dans de nombreux domaines d’activités : Aéronautique et Spatial, Agro-alimentaire, Automobile, Batterie lithium, Câblerie, Chimie, Emballage, Embouteillage, Tertiaire et Textiles techniques. Elle accompagne ses clients dans leurs projets à l’étranger, notamment : Allemagne, Italie, Suisse, République tchèque, Etats-Unis, Brésil, La Martinique, Chine, Côte d’Ivoire, Maroc et Sénégal.",http://novalia-ind.com/,,,,https://www.europages.fr/NOVALIA-INDUSTRIE/00000005295642-001.html
374,ALGI INDUSTRIE,Fabricant/Producteur,646 Rue De L'Industrie,74970 Marignier,+33 450180180,"La société ALGI INDUSTRIE est basée á Marinier. Depuis 1923, la société ALGI INDUSTRIE, implantée au coeur des Alpes, fabrique et distribue une large gamme de matériels de lubrification et d'équipements d'ateliers à destination de l’industrie, du transport, des travaux publics et du monde agricole.  Fabriquant depuis plus de 60 ans, Algi vous propose une large gamme de graisseurs, répondant aux normes internationales, en acier zingué, en inox et en laiton. Au-delà de la gamme présente sur ce site, nous sommes capables de produire des versions individuelles selon vos spécifications.",http://www.algi.fr/fr,,,,https://www.europages.fr/ALGI-INDUSTRIE/FRA306182-00101.html
375,AMPERE INDUSTRIE,Fabricant/Producteur,5 Rue De Bretagne,95310 St Ouen L Aumone,+33 134323800,"La société AMPERE INDUSTRIE est basée á St-Ouen-L'Aumone. Elle est spécialisée dans la fabrication et la distribution de métaux, anodes, produits chimiques, sels métalliques, accessoires et matériels pour l'électrolyse, la galvanoplastie et les traitement de surface. AMPERE INDUSTRIE possède 2500 références disponibles ; toutes quantités, toutes destinations. Elle propose également dans son catalogue: Anodes sacrificielles pour la protection cathodique ou bien encore des cibles métalliques pour les dépôts sous vide. ",http://www.ampere.com,,,,https://www.europages.fr/AMPERE-INDUSTRIE/FRA562754-00101.html
376,ETNA INDUSTRIE,Fabricant/Producteur,8 rue de la Grande Ceinture,95104 Argenteuil Cedex,+33 139820924,"La société ETNA INDUSTRIE est basée á Levallois-Perret. Constructeur d'équipements et composants dans les domaines hydraulique et pneumatique, nous développons du matériel spécifique dans le domaine du transport et de la distribution d’énergie électrique, du nucléaire de l’aéronautique, l’aérospatiale, l’armement, la cryogénie et l’offshore. A l'origine des commandes hydrauliques de disjoncteurs haute et très haute tension, ETNA Industrie s'est hissée au premier rang mondial de cette spécialité. ",http://www.etna-industrie.fr,,,,https://www.europages.fr/ETNA-INDUSTRIE/FRA299475-00101.html
378,BOUCHET CONSTRUCTION METALLIQUE,Fabricant/Producteur,39 route de Planchamps,74370 Pringy,+33 450271703,"La S.A.R.L. BOUCHET est spécialisée dans la construction métallique. La conception, le calcul, le dessin, la fabrication et la pose de charpentes métalliques sont les secteurs d’activités de l’entreprise. Nous réalisons des édifices dans l’industrie, le tertiaire, le commerce et l’agriculture; mais aussi des logements et des maisons à ossature métallique. Nous assurons également les opérations de bardage et de couverture de bâtiments. Pour parfaire notre efficacité, BOUCHET Construction Métallique s’est dotée d’un atelier moderne de serrurerie. Nous intervenons sur des ouvrages tels que : la chaudronnerie, les ponts et les remontées mécaniques (gare pour les stations, hangar à dameuses et autres), ...",http://www.bouchet-delta.eu,,,,https://www.europages.fr/BOUCHET-CONSTRUCTION-METALLIQUE/FRA551681-173825001.html
379,VERRERIE LABO DECO - VLD,Fabricant/Producteur,La Ratelais,"Verrerie Labo &amp; Déco, réparation de verrerie de laboratoire, de verreries scientifiques matérielles, création de pièces neuves, pièces à façon et décoration verre.

Depuis 20 ans, souffleur de verre dans de nombreux domaines ; verrerie, matériel de laboratoire, verre pour l’industrie, verrerie de décoration

Nous vous proposons des réparations de votre verrerie de laboratoire (DEVIS GRATUIT) : fiole, éprouvette, erlen, bécher, tube a essai etc…
Nous fabriquons et réalisons des pièces neuves sur plan en quartz et en pyrex : Réalisation de creuset, Réalisation de Becher, tubes à essai, Nacelle…Ainsi que de la verrerie  de décoration , Soliflore, Pipe à cognac, Pendentif, Flacon de parfum, Cadeaux d'entreprises, Verre de Lampe, globe en verre, Carafe…
Nous étudions tous vos projets personnalisés et  leur faisabilité , dans les meilleurs délais.",+33 251107041,"Verrerie Labo & Déco, réparation de verrerie de laboratoire, de verreries scientifiques matérielles, création de pièces neuves, pièces à façon et décoration verre.Depuis 20 ans, souffleur de verre dans de nombreux domaines ; verrerie, matériel de laboratoire, verre pour l’industrie, verrerie de décorationNous vous proposons des réparations de votre verrerie de laboratoire (DEVIS GRATUIT) : fiole, éprouvette, erlen, bécher, tube a essai etc…Nous fabriquons et réalisons des pièces neuves sur plan en quartz et en pyrex : Réalisation de creuset, Réalisation de Becher, tubes à essai, Nacelle…Ainsi que de la verrerie  de décoration , Soliflore, Pipe à cognac, Pendentif, Flacon de parfum, Cadeaux d'entreprises, Verre de Lampe, globe en verre, Carafe…Nous étudions tous vos projets personnalisés et  leur faisabilité , dans les meilleurs délais.",http://www.verrerie-laboetdeco.fr/,,,,https://www.europages.fr/VERRERIE-LABO-DECO-VLD/FRA807770-000009494001.html
380,ORAPI HYGIENE,Fabricant/Producteur,12 Rue Pierre Mendès France,69120 Vaulx-En-Velin,+33 442845675,"ORAPI HYGIÈNE est fabricant et leader français du marché de la commercialisation de produits d’hygiène et de nettoyage pour les professionnels.Présent sur le territoire national avec 12 agences commerciales, plus de 200 commerciaux, 60 assistantes commerciales et 48 techniciens, ORAPI HYGIÈNE vous accompagne au quotidien à travers un service de qualité basé sur l’écoute, le conseil et la formation à l’utilisation de nos produits, accessoires et matériels.Bénéficiant de l’ensemble des structures du Groupe ORAPI, et notamment de sa nouvelle usine 4.0 basée à Saint-Vulbas, ORAPI HYGIÈNE est un acteur incontournable répondant efficacement aux attentes du marché.Guidés par un esprit d’engagement et d’excellence, nous poursuivons notre développement en donnant priorité à la satisfaction de nos clients.",https://orapi.com/fr/,,,,https://www.europages.fr/ORAPI-HYGIENE/00000003848009-151529001.html
381,CHAPSOL - BÉTON PRÉFABRIQUÉ D'OUVRAGE,Fabricant/Producteur,231 rue la Fontaine,94120 Fontenay-Sous-Bois,+33 179841420,"L’entreprise CHAPSOL est le spécialiste du béton armé préfabriqué, du béton standard, du béton sur mesure et des produits en béton brevetés.  Depuis plus de 70 ans, CHAPSOL fabrique du béton prêt à l'emploi, murs de soutènement ou de stockage (en L ou T) de 0, 60 à 10, 00 mètres de haut et 1, 25 à 6, 00 mètres de long, des ouvrages cadre (ou ponts cadre) de franchissement, des réservoirs d’eau, des bassins de stockage ou de rétention des eaux pluviales (écobassin), des platelages de passages à niveau, des grandes dalles et des carreaux de sol, gradins, ouvrages hydrauliques, passages inférieurs sous route, passages inférieurs sous voies ferrées, passerelles de service, revêtements de voirie en pavage, sols industriels et voirie, etc.Tous nos produits sont conçus par nos services de recherche et de développement et sont entièrement préfabriqués sur nos sites de production. Par leur technicité et leur qualité (utilisation systématique de béton de type B 40), chaque nouveau produit constitue une réponse innovante par rapport aux attentes et aux exigences du marché.Fabrication de murs et accessoires de déchetterie, de murs à parement coloré, murs à parement Gabion, murs à parement GL, murs à parement matricé, murs à parement pierre, murs anti-bruit, murs anti-crue, murs autostable TGH, murs cannelés, etc.",http://www.chapsol.fr,,,,https://www.europages.fr/CHAPSOL-BETON-PREFABRIQUE-DOUVRAGE/FRA262739-00101.html
382,ACSYSTEME,Prestataire de services,4 rue René Dumont,35700 Rennes,+33 299551811,"La Société ACSYSTEME créée en 2002 a pour objectif d’apporter aux industriels et aux laboratoires de recherche des solutions en matière d’analyse et de contrôle des systèmes. Elle propose des études au forfait, des missions d'assistance technique ou des formations spécialisées, dans les domaines de l'automatique, du traitement du signal, de l'optimisation et de l'informatique scientifique. Elle développe des algorithmes pour optimiser les systèmes industriels.Son savoir-faire en analyse et contrôle des systèmes est sollicité dans des domaines aussi variés que : - les systèmes mécaniques et électriques (automobile, ferroviaire, naval, aéronautique, spatial, machinisme agricole, véhicules industriels), - les procédés continus (énergie, industrie de transformation agroalimentaire, chimie, pétrole), - le traitement des flux financiers (banques, assurances).",http://www.acsysteme.com,,,,https://www.europages.fr/ACSYSTEME/FRA481369-00101.html
383,WIELAND ELECTRIC SARL FRANCE,Fabricant/Producteur,Le Cérame - Hall 6,95803 Cergy-Pontoise Cedex,+33 130150707,"WIELAND est le pionnier de la technologie des connexions rapides électriques. Le groupe WIELAND est présent sur les 5 continents dans plus de 70 pays. Il est le leader dans le domaine de la connectique électrique enfichable pour les installations tertiaires. La filiale WIELAND ELECTRIC FRANCE a été créée en 1990. WIELAND ELECTRIC est particulièrement connu pour son système GESIS. Il est très utilisé dans le bâtiment tertiaire et industriel pour le câblage électrique. Spécialistes du tertiaire nous vous apportons des solutions de distribution d’énergie et d’automatisation décentralisées pour vos bâtiments. Un bureau d’étude vous aide à concevoir vos installations. Cette expertise à fait de nous le leader de la connectique « plug and play » en France. Les spécialistes de l’industrie vous conseillent et proposent nos solutions de distribution d’énergie, de sécurité machine, et tout ce qui concerne l’automatisation industrielle. Nous sommes certifiés ISO 9001 et ISO14001.",http://www.wieland-electric.com/fr,,,,https://www.europages.fr/WIELAND-ELECTRIC-SARL-FRANCE/FRA061183-00101.html
384,BWT - BEST WATER TECHNOLOGY FRANCE,Fabricant/Producteur,103 Rue Charles Michels,93206 St Denis,+33 149224500,"Le groupe BEST WATER TECHNOLOGY est le leader européean du traitement de l’eau. BWT met au point des produits et des services écologiques et économiques pour le traitement de l’eau. Depuis 1990, nos produits et nos procédés ont imposé de nouvelles références partout dans le monde. Les produits, procédés et services de traitement de d’eau de BWT fournissent avec une sécurité, une hygiène et une santé maximales : l’eau sanitaire, l’eau pour l’industrie pharmaceutique et à usage industriel, l’eau de chauffage, l’eau de chaudière et l’eau de refroidissement, l’eau pour la climatisation, l’eau pour piscine, l’eau pour l’industrie, l’eau pour l’hôtellerie et l’eau pour les collectivités. BWT identifie, développe, et optimise en permanence des technologies innovantes, économiques et écologiques : filtres, médias filtrants et échangeurs d‘ions, déminéralisateurs, adoucisseurs et décarbonatation, techniques membranaires (microfiltration, ultrafiltration, nanofiltration, osmose inverse), etc.",http://www.bwt.fr/,,,,https://www.europages.fr/BWT-BEST-WATER-TECHNOLOGY-FRANCE/FRA004006-00101.html
385,GLOBEVERT SAS,Fabricant/Producteur,4 allée des Bouleaux,94510 La Queue-En-Brie,+33 0172503199,"Notre société produit sur mesure les palettes à la norme Europal avec un traitement phytosanitaire NIMP15, emballages en bois, rondins, planches rabotées, corniches, panneaux, lames de terrasse, profilés en pin, sapin, mélèze, chêne, hêtre, bouleau et aulne, certifiés FSC sur demande. Nous produisons également les combustibles solides et biocarburants: briquettes de bois compressé mixtes, briquettes de lignite et d’anthracite, charbon de bois, granulés pouvant aussi être utilisés en tant que litière pour animaux. Nos produits technologiques sont la BBQ Box GoodPicnic avec un allumage intégré propre et écologique, pouvant préparer 3kg de grillades et les allume-feu design ""PyramidBox"".",https://www.globevert.com,,,,https://www.europages.fr/GLOBEVERT-SAS/00000005455827-801785001.html
386,MEUNIDEC,Sous-traitant,180 rue des Grands Champs,74300 Magland,+33 450347056,"L'activité principale de MEUNIDEC est le décolletage et l'usinage de précision sur tous types de métaux du diamètre 5 mm à 65 mm, mais aussi l'assemblage de sous-ensembles. Sa spécialité est la réalisation de pièces techniques à forte valeur ajoutée ou nécessitant des processus de fabrication complexes, en moyennes et grandes séries. Pour satisfaire ses clients, MEUNIDEC s'appuie sur une solide expérience, un personnel qualifié, une ambitieuse politique d'investissement ainsi qu'un bureau d'étude prêt à répondre aux demandes les plus pointues. MEUNIDEC excelle dans le décolletage de précision sur tous types de métaux en moyennes et grandes séries. ",http://www.meunidec.fr,,,,https://www.europages.fr/MEUNIDEC/00000003739729-124901001.html
387,MIXEL SA,Fabricant/Producteur,1 Place Du Paisy,69570 Dardilly,+33 472521818,"MIXEL une entreprise spécialiste de l'étude et la réalisation d'appareils de mélange (agitateurs industriels) standards ou sur mesure. MIXEL conçoit, fabrique et commercialise divers mobiles d'agitation, agitateurs verticaux, magnétiques, latéraux, de paroi, fond de cuve, sur potence et autres mélangeurs. MIXEL et MIXEL SERVICE sont certifiés ISO 9001 version 2008. MIXEL est le seul fabricant français de mélangeurs agréés EN/NF 13980.  MIXEL propose l'étude et la réalisation d'appareils de mélange et d'agitation sur-mesure (liquide/liquide ; liquide/gaz ; liquide/poudre); étude spécifique selon cahier des charges clients Gpao, agitateurs standards économiques pour traitement de l'eau; soutien à la vente.",http://www.mixel.fr,,,,https://www.europages.fr/MIXEL-SA/FRA009884-00101.html
388,ACTIMESURE,Fabricant/Producteur,Avenue Les Landes de Cassantin,37210 Parçay-Meslay,+33 247463030,"Nous sommes spécialisés dans la conception et la réalisation d’outillages de contrôle dédiés au secteur de l’industrie. Ces outillages servent à des équipementiers de rang 1 ou 2 de l’industrie Automobile, Aéronautique, Electronique, Electroménager et Ferroviaire. Ils permettent de venir vérifier la géométrie des produits de nos clients avant la livraison chez l’assembleur. Ils sont utilisés par des opérateurs sur les lignes de production et permettent d’assurer très simplement et très rapidement la conformité géométrique de la pièce. ",http://www.actimesure.com,,,,https://www.europages.fr/ACTIMESURE/00000004655717-001.html
390,EVERYSENS,Prestataire de services,165 Avenue De Bretagne,59000 Lille,+33 366725704,"Everysens est une solution SaaS offrant une visibilité de bout en bout sur les chaînes logistiques multimodales. Cette solution clé en main (logiciel et capteur) génère de la valeur pour les chargeurs à partir du tracking en temps réel et d’analyses décisionnelles. L’objectif est double : piloter l’utilisation des actifs mobiles et suivre la performance du plan de transport de manière granulaire. En combinant IA et IoT, Everysens fournit aux chargeurs les informations qui leur manquaient jusqu’alors pour améliorer leurs performances globales et la rentabilité de leur chaîne logistique. En moyenne, nos clients constatent une augmentation de leur productivité opérationnelle de 30%, une diminution de leur CAPEX de l’ordre de 20% et une augmentation des rotations de 30%. Everysens est le leader français de la visibilité logistique. Reconnue au sein du top 10 Europe des startups supply chain par Supply Chain Movement, l’entreprise a gagné la confiance d’importants clients européens, tels ArcelorMittal, Boréalis, Saint-Gobain ou encore Danone Waters.",http://www.everysens.com,,,,https://www.europages.fr/EVERYSENS/00000005335486-633480001.html
391,ABSOGER,Fabricant/Producteur,521 Chemin De La Graviere,82100 Les Barthes,+33 563316376,"La société Absoger fabrique et commercialise toute une gamme d’appareils pour conserver les fruits et légumes en Atmosphère Contrôlée et ULO. La gamme de produits Absoger permet une gestion totale des gaz dans les chambres froides. Elle a été développée en collaboration avec les centres de recherche pour répondre au mieux aux attentes des stations fruitières mais aussi aux exigences des fruits à conserver. Forte de son expérience dans la fabrication de générateurs d'azote, son champ d'action s'est étendu au séchage et au refroidissement des gaz et de l'air comprimé pour satisfaire les besoins des industriels notamment dans le domaine de l'industrie plastique.",http://www.absoger.com,,,,https://www.europages.fr/ABSOGER/FRA160866-134483001.html
393,AURIOL,Fabricant/Producteur,Allée du Roc - BP 99,47202 Marmande Cedex,+33 553209600,"La société AURIOL conçoit et fabrique des équipements de cuisson et de la stérilisation pour les industries agro-alimentaires, la restauration collective, la chimie et la pharmacie, les hôpitaux ou l’Armée mais aussi les artisans charcutiers. AURIOL propose une large gamme de marmites de cuisson (et de refroidissement) fonctionnant à la vapeur, au gaz ou à l’électricité, et cuiseurs pour l'industrie, d’une capacité de 30 à 1 000 litres et plus, qui offrent un large éventail de caractéristiques techniques : cuisson à la pression atmosphérique à haute température ou sous vide, cuves basculantes ou fixes, etc. L’entreprise fabrique aussi des accessoires connexes à la cuisson et à la stérilisation : mélangeurs verticaux, horizontaux ou inclinés, homogénéisateurs, cuiseurs horizontaux, sauteuses, passoires raffineuses, boules de concentration et traitement sous­vide, autoclaves. Son bureau d’étude est capable de fabriquer des machines sur­mesure, adaptées spécifiquement au besoin des clients, ce qui fait la différence avec ses concurrents.AURIOL exporte chaque année entre 10 et 20 % de sa production hors de France et s’intéresse aux nouveaux marchés potentiels, comme le Canada où l’entreprise dispose également d’une gamme de matériels, notamment des marmites très larges, qui répond à des secteurs en forte évolution, comme les confitures artisanales ou industrielles.",http://auriol-sa.com/en/home/,,,,https://www.europages.fr/AURIOL/00000003953457-229171001.html
394,ISISPHINX,Prestataire de services,180 rue de Bondues,59160 Wambrechies,+33 970408009,ISISPHINX est une entreprise ayant développé et regrouper en une seule structure les 3 axes fondamentaux de l'informatique pour l'industrie et les établissements médicaux à savoir : - Conception des supports physiques- Editions de logiciels- Ingénierie des servicesNos solutions permettent aujourd'hui à de nombreux intervenants des domaines industriels et médicaux de bénéficier d'une toute autre approche organisationnelle innovante et efficace. ISISPHINX c'est une entreprise à l'écoute de son marché et pour laquelle ses clients ont la plus grande valeur. ,http://www.isisphinx.com/entreprise.html,,,,https://www.europages.fr/ISISPHINX/00000004771650-001.html
395,DECORS &amp; CREATIONS,Fabricant/Producteur,8 Rue Des Alpes,68393 Sausheim Cedex,+33 389451401,"Décors & Créations créée en 1994 est spécialisée dans la fabrication de décors en chocolat, de sérigraphie alimentaire et de moules thermoformés. Elle dispose de deux sites de production récents basés à Mulhouse – Sausheim dont son siège qui est dédié à la sérigraphie et aux décors en chocolat de 1500m². Fort de son savoir-faire historique, notamment par l’intégration de CHOCOSIEGEL, reconnue dans la création de moules thermoformés, Décors & Créations ne cesse de se perfectionner afin de vous satisfaire davantage.",http://www.decors-creations.com,,,,https://www.europages.fr/DECORS-CREATIONS/FRA371791-00101.html
